time,theta,phi
Athletico-PR,1.48,1
Atlético-MG,1.3333333333333333,1.1666666666666667
Bahia,1.48,1.2
Botafogo,1.5416666666666667,1.6666666666666667
Bragantino,1.2083333333333333,1.0416666666666667
Chapecoense,1.0416666666666667,2.0416666666666665
Corinthians,1.04,1
Coritiba,1.32,1.32
Cruzeiro,1.4,1.44
Flamengo,2,0.84
Fluminense,1.56,1.28
Grêmio,1.125,1.3333333333333333
Internacional,1.04,1.24
Mirassol,1.08,1.56
Palmeiras,1.8,0.84
Remo,1.2,1.68
Santos,1.4166666666666667,1.5
São Paulo,1.2083333333333333,1.1666666666666667
Vasco,1.125,1.625
Vitória,0.96,1.48
