time,parametro,estimativa,erro_padrao_boot,ic_inferior,ic_superior,largura_ic
Athletico-PR,theta,1.48,0.21967355791538662,1.04,1.92,0.8799999999999999
Athletico-PR,phi,1,0.18546739933374157,0.64,1.36,0.7200000000000001
Atlético-MG,theta,1.3333333333333333,0.25079067760065793,0.875,1.8333333333333333,0.9583333333333333
Atlético-MG,phi,1.1666666666666667,0.20110063737217806,0.7916666666666666,1.5833333333333333,0.7916666666666666
Bahia,theta,1.48,0.17055188417170727,1.159000000000009,1.8,0.6409999999999911
Bahia,phi,1.2,0.2189081671901856,0.8,1.64,0.8399999999999999
Botafogo,theta,1.5416666666666667,0.24128272906829815,1.0833333333333333,2,0.9166666666666667
Botafogo,phi,1.6666666666666667,0.24853479637679823,1.2083333333333333,2.1666666666666665,0.9583333333333333
Bragantino,theta,1.2083333333333333,0.21866081480749255,0.7916666666666666,1.6666666666666667,0.8750000000000001
Bragantino,phi,1.0416666666666667,0.17362922177764303,0.7083333333333334,1.375,0.6666666666666666
Chapecoense,theta,1.0416666666666667,0.21855089837874633,0.625,1.5,0.875
Chapecoense,phi,2.0416666666666665,0.2238937841372476,1.625,2.5,0.875
Corinthians,theta,1.04,0.18364893976635893,0.68,1.4,0.7199999999999999
Corinthians,phi,1,0.19531414853425688,0.64,1.4,0.7599999999999999
Coritiba,theta,1.32,0.21343001109722992,0.92,1.72,0.7999999999999999
Coritiba,phi,1.32,0.2175537581099595,0.92,1.76,0.84
Cruzeiro,theta,1.4,0.17817734135545193,1.08,1.76,0.6799999999999999
Cruzeiro,phi,1.44,0.23154325649425161,1,1.92,0.9199999999999999
Flamengo,theta,2,0.24447389870641584,1.52,2.48,0.96
Flamengo,phi,0.84,0.18490787056277405,0.48,1.2,0.72
Fluminense,theta,1.56,0.1884879263237754,1.2,1.92,0.72
Fluminense,phi,1.28,0.1655398261428468,0.96,1.6,0.6400000000000001
Grêmio,theta,1.125,0.24296139486648352,0.6666666666666666,1.625,0.9583333333333334
Grêmio,phi,1.3333333333333333,0.19279628409864127,0.9583333333333334,1.7083333333333333,0.7499999999999999
Internacional,theta,1.04,0.19254298454134758,0.68,1.44,0.7599999999999999
Internacional,phi,1.24,0.1894528457798336,0.88,1.6,0.7200000000000001
Mirassol,theta,1.08,0.1599673372001206,0.76,1.4,0.6399999999999999
Mirassol,phi,1.56,0.20323962147763866,1.2,2,0.8
Palmeiras,theta,1.8,0.24771692211746524,1.32,2.28,0.9599999999999997
Palmeiras,phi,0.84,0.15670884908752994,0.56,1.16,0.5999999999999999
Remo,theta,1.2,0.21792284795488076,0.8,1.64,0.8399999999999999
Remo,phi,1.68,0.20156819808156193,1.28,2.08,0.8
Santos,theta,1.4166666666666667,0.1668899769102566,1.0833333333333333,1.75,0.6666666666666667
Santos,phi,1.5,0.23596523661303276,1.0416666666666667,1.9583333333333333,0.9166666666666665
São Paulo,theta,1.2083333333333333,0.18531621091865486,0.875,1.5833333333333333,0.7083333333333333
São Paulo,phi,1.1666666666666667,0.15158408871210197,0.875,1.4583333333333333,0.5833333333333333
Vasco,theta,1.125,0.1979301793549403,0.75,1.5416666666666667,0.7916666666666667
Vasco,phi,1.625,0.2182033999620867,1.2083333333333333,2.0833333333333335,0.8750000000000002
Vitória,theta,0.96,0.19236611154797303,0.6,1.36,0.7600000000000001
Vitória,phi,1.48,0.27375048162262444,0.96,2.04,1.08
